Skill Name,Category,Purpose,Use When,Do Not Use When,Automatically Applicable To,Example Explicit Invocation,Primary Repository References,Dependencies,StackScore Specific,Portable to Other Projects,Environment Variables Required,Validation Commands,Status,Last Reviewed,Notes
api-server-actions,Feature Development,Implements session JSON APIs as thin Next.js Route Handlers that validate with Zod and delegate to src/lib (Server Actions are forbidden here).,"Authenticated /api/v1 handlers; choosing RSC read vs fetch mutation; standardizing { error code } responses.","Webhooks/cron/shared-secret ingress (integration-endpoints); Stripe/Resend domain logic; UI-only work.","src/app/api/** session routes; description trigger for Route Handlers / Zod API work.","Add PATCH /api/v1/website-leads/[id] — use api-server-actions mirror users auth.","src/lib/api/helpers.ts; src/lib/api/access.ts; src/app/api/v1/users/route.ts; src/app/api/v1/website-leads/; DOC-302; DOC-124","auth; organization; audit; testing-validation; rules: api-routes.mdc",Yes,Partial,No,"npm run lint; npm test -- tests/<domain>/; npm run build",Needs Review,2026-07-31,"Skill folder name says server-actions but architecture forbids them; title inside skill is API Route Standards."
assessments,StackScore-Specific Business Logic,Preserves assessment pipeline from questions/answers through v1/v2 scoring completion and profile updates.,"Question library weights; scoring engine changes; completeAssessment comparisons/reassessment.","Recommendation generation (recommendations); roadmap/TIP (roadmap); PDF-only (reporting).","Assessment library scoring completeAssessment; description trigger for DOC-119 / scoring work.","Adjust v2 pillar weighting — use assessments and DOC-119.","src/lib/assessments/; src/lib/scoring/; src/lib/assessment-library/; data/v2-question-library.json; Assessment* Prisma models","documentation-driven-development; recommendations; roadmap; testing-validation",Yes,No,No,"npm test -- tests/scoring/; npm test -- tests/assessments/; npm run lint; npm run build",StackScore Only,2026-07-31,Product domain — do not transplant Assessment models to other apps.
audit,Authentication and Security,Records admin/billing/client activity via three audit models and status/archivedAt archive flows (no deletedAt).,"Admin mutations needing trail; billing audit; client activity timeline; archive/restore/permanent delete.","Communication delivery tracking (resend); Stripe webhook idempotency (stripe); inventing deletedAt soft-delete.","Admin/billing/archive mutations; description trigger for audit/archive.","Log admin converts — use audit and mirror website-leads/audit.ts.","src/lib/admin/audit-log.ts; src/lib/billing/audit.ts; src/lib/communications/activity/record-activity.ts; src/lib/records/cleanup.ts","auth; organization; prisma-postgres (schema only)",Yes,No,No,"npm test -- tests/<domain>/; npm run lint",Active,2026-07-31,OrganizationActivityEvent is Client-scoped despite the name.
auth,Authentication and Security,Applies NextAuth v5 JWT sessions page guards API role helpers activation and password reset.,"Page/API role gates; portal path allowlist; session activation/reset; wiring require* helpers.","clientId ownership (organization); shared-secret/webhook/cron (integration-endpoints); Stripe signatures (stripe).","Protected routes login/session RBAC; description trigger for NextAuth/roles.","Lock a billing route to staff — use auth and billing api-auth helpers.","src/lib/auth/; src/middleware.ts; src/lib/api/helpers.ts; src/lib/api/access.ts; DOC-122; DOC-303","organization; api-server-actions; rules: stackscore-core.mdc",Yes,Partial,Yes,"npm test -- tests/auth/; npm test -- tests/client-roadmap/permissions.test.ts; npm run lint; npm run build",Active,2026-07-31,"Env names: AUTH_SECRET AUTH_URL. Portable idea: JWT + per-route API auth."
bobkat-saas-architecture,Architecture,Orients work to App Router Prisma 7 Client tenancy Route Handler mutations and lib-service layering.,"Choosing layers/folders; RSC vs API vs service; DOC-120 vocabulary; data-flow orientation.","Full CRUD (enterprise-crud); schema-only (prisma-postgres); auth details (auth); UI tokens (premium-ui).","Cross-cutting architecture orientation; description trigger for where code belongs.","Where should consulting notes live? Use bobkat-saas-architecture and mirror website-leads.","docs DOC-120/124/129; src/app/; src/lib/; prisma/schema.prisma; package.json","repository-auditor; documentation-driven-development; rules: stackscore-core.mdc",Yes,No,No,"npm run lint; npm test -- tests/<domain>/; npm run build",StackScore Only,2026-07-31,Architecture map for this product — not a generic SaaS template.
cursor-maintenance,Repository and Skill Maintenance,Audits .cursor rules/skills and requires syncing SKILLS_INDEX.md plus skills-inventory.csv on every skill-library change.,"Create/update/rename/merge/deprecate/remove skills; refresh after drift; inventory out of sync.","Normal feature development; changing src/prisma/tests without separate request.","Explicit maintenance requests; description trigger for .cursor audit and inventory sync.","Audit Cursor skills after billing release — use cursor-maintenance and sync both inventories.","`.cursor/rules/`; `.cursor/skills/`; `.cursor/SKILLS_INDEX.md`; `.cursor/skills-inventory.csv`; package.json","repository-auditor (for app patterns); documentation-driven-development",No,Yes,No,"node -e console.log(Object.keys(require('./package.json').scripts)); Compare skill dirs to CSV names",Portable,2026-07-31,"Mandatory: update index+CSV in same change; Last Reviewed only for inspected skills; no secrets/env values in inventories."
dashboard-framework,UI and Dashboards,Composes KPI/trend dashboards using ExecutiveKpiCard Recharts summaries and loading/empty states.,"Portal KPI rows; staff analytics trends; dashboard summaries/action lists; chart empty/loading.","Admin CRUD tables (enterprise-crud/premium-ui); PDF reports (reporting); marketing heroes.","Dashboard/portal/analytics surfaces; description trigger for KPI/Recharts.","Add trend panel to client improvement dashboard — use dashboard-framework.","src/components/executive-os/; src/components/analytics/; src/lib/dashboard/; DOC-127","premium-ui; repository-auditor; testing-validation",Yes,Partial,No,"npm run lint; npm test -- tests/layout/; npm run build",Active,2026-07-31,Reuse executive-os components; do not invent parallel KPI systems.
documentation-driven-development,Architecture,Aligns implementation with governing docs/ before inventing business logic per DOC-129.,"Business workflows scoring pricing permissions; Technology Profile/assessments/billing/vCIO behavior questions.","Pure UI polish; mechanical refactors preserving behavior; deploy-only tasks.","Behavior/spec questions before coding; description trigger for docs-first work.","How should X work? Use documentation-driven-development before coding.","docs/ DOC-000 DOC-120 DOC-123 DOC-124 DOC-129; docs/40-Modules/","bobkat-saas-architecture; assessments; recommendations; roadmap",Yes,No,No,N/A (read docs; then domain skill validation),StackScore Only,2026-07-31,Authoritative product specs live in docs/ not in skills.
enterprise-crud,Feature Development,Builds end-to-end staff CRUD: schema Zod service API list/detail UI archive/delete audit nav.,"New admin/staff-managed entity; extending CRUD status/notes/delete; filters/search/responsive tables.","Schema-only (prisma-postgres); API-only (api-server-actions); UI polish-only (premium-ui); CSV (imports); scoring domains.","New staff-managed modules; description trigger for CRUD verticals.","Add vendor contacts admin CRUD — use enterprise-crud mirror website-leads.","src/lib/website-leads/; src/app/api/v1/website-leads/; src/components/admin/website-leads-*; users-management","repository-auditor; prisma-postgres; api-server-actions; auth; organization; premium-ui; audit; testing-validation",Yes,Partial,No,"npm test -- tests/<domain>/; npm run lint; npm run build",Active,2026-07-31,Canonical references: website-leads and users.
file-storage,Database and Data,Handles Document metadata with fileUrl pointing at on-demand PDF API routes (no S3/blob uploads).,"Registering Document after TIP/QBR/proposal; serving PDF downloads; evaluating upload requests.","Building PDF content (reporting); inventing object storage without product decision.","Document rows / file upload questions; description trigger for storage/uploads.","Link TIP PDF in Document records — use file-storage and fileUrl API path pattern.","prisma Document model; src/lib/pdf/generate.tsx; src/app/api/v1/**/pdf/","reporting; auth; organization",Yes,No,No,"npm test -- tests/technology-improvement-plan/tip-pdf; npm test -- tests/billing/invoice-pdf.test.ts; npm run lint",StackScore Only,2026-07-31,No multipart/S3 pipeline exists.
imports,Database and Data,Implements CSV prospect import with preview/dedupe and idempotent Prisma seeds (no Excel/rollback).,"CSV prospect/outreach import; seed modules; demo client seeding; one-off scripts/.","Schema DDL (prisma-postgres); single-record CRUD; website form POST ingress.","CSV import seed scripts; description trigger for import/seed work.","Extend prospect CSV with industry — use imports and csv-import preview flow.","src/lib/communications/outreach/csv-import.ts; duplicate-detection.ts; prisma/seed.ts; scripts/seed-demo-client.ts","prisma-postgres (if schema); resend (invites); testing-validation",Yes,Partial,Partial,"npm test -- tests/communications/; npm run db:seed; npm run seed:demo-client; npm run lint",Active,2026-07-31,"Env-related seed flags: SEED_FULL_RESET SEED_RESET_ASSESSMENTS ALLOW_DEMO_SEED (names only)."
integration-endpoints,Integrations,Builds non-session ingress shape: shared-secret APIs webhook/cron scaffolding public POSTs.,"integrations/** partner POSTs; new webhooks/cron route scaffolding; public v1/public POSTs; rate-limit helpers.","Session CRUD (api-server-actions); Stripe domain (stripe); Resend domain (resend); page session auth.","src/app/api/integrations webhooks cron public; description trigger for secret ingress.","Add partner POST with shared secret — use integration-endpoints then domain skill.","src/app/api/integrations/website-leads/; src/app/api/webhooks/; src/app/api/cron/communications/; auth.config.ts","stripe; resend; api-server-actions; auth; rules: api-routes.mdc",Yes,Partial,Yes,"npm run lint; npm test -- tests/<domain>/; npm run build",Needs Review,2026-07-31,"Overlaps discovery paths with stripe/resend; use for scaffolding then hand off. Env examples: CRON_SECRET WEBSITE_LEADS_API_SECRET."
organization,Authentication and Security,Enforces Client-scoped isolation portal ownership and workspace UI under clients/[id] (no Org/Workspace models).,"Filtering by clientId; client workspace layouts; portal vs consultant data access; client activity timeline.","Login/JWT/roles (auth); designing multi-tenant Org/Workspace SaaS; admin entities with no client FK.","Client workspace ownership queries; description trigger for clientId isolation.","Scope notes API to client workspace — use organization and requireClientWorkspaceAccess.","prisma model Client; User.clientId; src/lib/api/access.ts; client-workspace shell/layout","auth; api-server-actions",Yes,No,No,"npm test -- tests/auth/; npm test -- tests/client-roadmap/permissions.test.ts; npm run lint",Needs Review,2026-07-31,"Skill name says organization but tenant is Client — documented in Scope."
premium-ui,UI and Dashboards,Implements polished SaaS UI from canonical StackScore screens — hierarchy spacing tables/forms responsive states; separates portable principles from brand bindings.,"New/redesign pages modules dashboards forms tables detail views; fix generic/cluttered/inconsistent UI.","Tiny copy tweaks; backend/schema-only; PDF-only (reporting); email (resend); KPI wiring alone (dashboard-framework).","src/app and src/components substantial UI; description trigger for redesign/polish.","Use premium-ui to redesign this admin page using website-leads-management as the reference.","website-leads-management/detail; users-management; customer-executive-dashboard; dashboard-shell; client-ui tokens; globals.css page-* utilities","dashboard-framework; enterprise-crud; reporting (on-screen); auth; testing-validation; repository-auditor",Yes,Partial,No,"npm run lint; npx tsc --noEmit; npm test -- tests/layout/; npm run build; browser desktop+mobile",Active,2026-07-31,"Audited vs source: exact detail grid minmax classes; CLIENT_PAGE_SHELL includes mx-auto; table filters not universal; KPI details deferred to dashboard-framework."
prisma-postgres,Database and Data,Safely evolves PostgreSQL schema via Prisma 7 migrations updates dependents regenerates client reports deploy steps.,"Editing schema.prisma; new migrations; schema-driven dependent-layer updates.","Logic without DDL; CSV/seed only (imports); deploy-only (production-release); route-only (api-server-actions).","prisma/** schema/migrations; description trigger; rule prisma-database.mdc points here.","Add optional Prospect.archivedAt — use prisma-postgres through deploy-time reporting.","prisma/schema.prisma; prisma/migrations/; prisma.config.ts; src/lib/db/; scripts/vercel-build.mjs","imports; production-release; testing-validation; api-server-actions; rules: prisma-database.mdc",Yes,Yes,Yes,"npx prisma validate; npm run db:generate; npx tsc --noEmit; npm run lint; npm test; npm run build",Portable,2026-07-31,"Env names: DATABASE_URL SEED_* ALLOW_DEMO_SEED SKIP_PRISMA_MIGRATE. Portable migration safeguards."
production-release,Deployment and Validation,Verifies Vercel+Neon deploy readiness: lint tsc tests build migrate deploy smoke.,"Pre-deploy checklist; vercel-build/migrate failures; post-deploy verification.","Feature implementation; schema authoring (prisma-postgres); unit-test authoring only (testing-validation).","Deploy/smoke/Vercel/Neon diagnosis; description trigger for production release.","Vercel failed on prisma migrate deploy — use production-release.","scripts/vercel-build.mjs; scripts/smoke-check.ts; DEPLOY.md; ENVIRONMENTS.md; package.json","testing-validation; prisma-postgres; integration-endpoints (external services)",Yes,Partial,Yes,"npm run lint; npx tsc --noEmit; npm test; npm run build; npm run db:migrate:deploy; npm run vercel-build; npm run smoke",Portable,2026-07-31,Topology is StackScore-specific; checklist pattern is portable.
recommendations,StackScore-Specific Business Logic,Generates/syncs AssessmentRecommendation from triggers using v1/v2 catalogs and real schema fields only.,"Trigger evaluation; catalog JSON; AssessmentRecommendation sync/dedupe/status; priority/businessImpact points.","Scoring math (assessments); phases/TIP (roadmap); inventing ROI/effort/technicalImpact columns.","Recommendation engines/catalogs; description trigger for recommendation sync.","Tune consolidation groups — use recommendations and RecommendationRuleCatalog.","src/lib/recommendations/; data/RecommendationRuleCatalog.json; data/RecommendationCatalogV2.json","assessments; roadmap; testing-validation",Yes,No,No,"npm test -- tests/recommendations/; npm test -- tests/scoring/; npm run lint",StackScore Only,2026-07-31,No technicalImpact/roi/cost/effort on recommendation model.
